Australian Bureau of Statistics

"2021 Census - employment, income and education"
"INCP Total Personal Income (weekly) by LGA (UR)"
"Counting: Person Records"

Filters:
"Default Summation","Person Records"

"LGA (UR)","Blacktown","Blue Mountains","Camden","Campbelltown (NSW)","Fairfield","Hawkesbury","Liverpool","Parramatta","Penrith","Wollondilly","Total",
"INCP Total Personal Income (weekly)",
"Negative income",2730,296,615,1348,2412,434,2093,1183,1401,353,12862,
"Nil income",35116,4954,7982,14792,22098,4154,21245,23546,14822,3424,152126,
"$1-$149 ($1-$7,799)",8118,2329,2448,3734,5066,1583,5534,6076,4772,1295,40960,
"$150-$299 ($7,800-$15,599)",13447,3033,3354,6938,12754,2249,10355,8783,7145,1691,69747,
"$300-$399 ($15,600-$20,799)",20786,4588,5190,11168,22101,3674,15878,12674,11660,2951,110674,
"$400-$499 ($20,800-$25,999)",19448,5187,4701,10352,16826,3900,13196,12218,11371,2734,99935,
"$500-$649 ($26,000-$33,799)",18826,5154,5592,9686,13312,4024,12098,12542,11398,2960,95593,
"$650-$799 ($33,800-$41,599)",19971,4764,5748,9995,11805,4037,12281,12855,11711,3072,96233,
"$800-$999 ($41,600-$51,999)",25768,4813,7503,12590,13298,4689,14822,15815,15099,3484,117883,
"$1,000-$1,249 ($52,000-$64,999)",30755,5553,9461,13906,12896,5394,16652,19185,18055,4047,135908,
"$1,250-$1,499 ($65,000-$77,999)",23625,4260,7890,10179,8284,4142,12563,15407,14047,3226,103609,
"$1,500-$1,749 ($78,000-$90,999)",19237,3936,7000,7858,6224,3662,10048,13973,11726,2829,86491,
"$1,750-$1,999 ($91,000-$103,999)",13932,3317,5313,5335,3945,2874,7039,10769,8338,2147,63004,
"$2,000-$2,999 ($104,000-$155,999)",23702,6200,8776,7402,4985,4168,10274,21187,12527,3725,102953,
"$3,000-$3,499 ($156,000-$181,999)",4686,1211,1597,1199,881,790,1811,4621,2120,707,19621,
"$3,500 or more ($182,000 or more)",4805,1830,1951,1323,993,1153,2133,6044,2342,989,23561,
"Not stated",21709,3074,4102,9862,13354,3426,13853,13215,13011,2612,98211,
"Not applicable",90124,13628,30093,38859,37247,12849,51573,46643,46117,11725,378858,
"Total",396776,78121,119325,176519,208475,67207,233446,256729,217664,53961,1808226,


"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2021, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
