Australian Bureau of Statistics,,,,,,,,,,,
,,,,,,,,,,,
"2016 Census - Employment, Income and Education",,,,,,,,,,,
AGE5P - Age in Five Year Groups by LGA (UR),,,,,,,,,,,
Counting: Persons Place of Usual Residence,,,,,,,,,,,
,,,,,,,,,,,
Filters:,,,,,,,,,,,
Default Summation,Persons Place of Usual Residence,,,,,,,,,,
,,,,,,,,,,,
LGA (UR),Blacktown,Blue Mountains,Camden,Campbelltown (NSW),Fairfield,Hawkesbury,Liverpool,Parramatta,Penrith,Wollondilly,Total
AGE5P - Age in Five Year Groups,,,,,,,,,,,
10-14,23122,4918,5829,10606,13066,4409,15027,11152,12695,3631,104451
15-19,23289,4771,5355,10651,14169,4581,14886,11505,13034,3412,105657
20-24,22835,3633,4844,11451,15334,4387,14552,14861,14119,2899,108912
Total,69244,13316,16022,32714,42568,13382,44472,37517,39846,9945,319025
,,,,,,,,,,,
"Dataset: Census of Population and Housing, 2016, TableBuilder",,,,,,,,,,,
,,,,,,,,,,,
INFO,Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells.,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"Copyright Commonwealth of Australia, 2021, see abs.gov.au/copyright",,,,,,,,,,,
"ABS data licensed under Creative Commons, see abs.gov.au/ccby",,,,,,,,,,,
