Australian Bureau of Statistics,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"2016 Census - Employment, Income and Education",,,,,,,,,,,,,,
AGEP Age by LGA (UR),,,,,,,,,,,,,,
Counting: Persons Place of Usual Residence,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Filters:,,,,,,,,,,,,,,
Default Summation,Persons Place of Usual Residence,,,,,,,,,,,,,
,,,,,,,,,,,,,,
LGA (UR),Blacktown,Blue Mountains,Camden,Campbelltown (NSW),Fairfield,Hawkesbury,Liverpool,Parramatta,Penrith,Wollondilly,Canterbury-Bankstown,Cumberland,The Hills,Total
AGEP Age,,,,,,,,,,,,,,
10,4849,1045,1261,2239,2596,914,3080,2336,2600,751,4657,2673,2438,31437
11,4776,974,1118,2045,2522,877,2964,2208,2586,730,4463,2534,2336,30136
12,4523,998,1161,2133,2605,858,3037,2255,2508,728,4328,2436,2305,29881
13,4510,966,1211,2153,2731,898,3019,2209,2486,742,4306,2364,2318,29925
14,4455,929,1083,2039,2608,868,2931,2134,2504,681,4123,2317,2297,28973
15,4704,1003,1147,2063,2839,943,2950,2151,2552,696,4362,2252,2356,30026
16,4775,961,1071,2171,2793,900,3082,2325,2605,745,4319,2440,2284,30468
17,4620,1016,1039,2089,2676,909,2974,2211,2536,677,4258,2459,2271,29739
18,4506,906,1080,2151,2791,854,2932,2367,2655,670,4301,2599,2160,29957
19,4692,882,1023,2180,3079,974,2945,2456,2675,631,4625,2782,2181,31123
20,4624,797,959,2248,3082,903,2967,2759,2624,603,4734,3172,2155,31643
21,4644,807,1006,2347,3118,877,2998,2698,2875,583,4875,3358,2074,32275
22,4491,698,923,2312,3137,848,2833,2853,2852,592,4885,3353,1903,31673
23,4503,673,941,2307,3040,891,2918,3162,2818,590,5028,3515,1872,32258
24,4570,657,1003,2240,2954,866,2841,3383,2954,531,4967,3758,1701,32421
Total,69244,13316,16022,32714,42568,13382,44472,37517,39846,9945,68241,42012,32652,461931
,,,,,,,,,,,,,,
"Dataset: Census of Population and Housing, 2016, TableBuilder",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
INFO,Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells.,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Copyright Commonwealth of Australia, 2021, see abs.gov.au/copyright",,,,,,,,,,,,,,
"ABS data licensed under Creative Commons, see abs.gov.au/ccby",,,,,,,,,,,,,,
