Australian Bureau of Statistics,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"2021 Census - employment, income and education",,,,,,,,,,,,,,
1-digit level HEAP Level of Highest Educational Attainment by LGA (UR),,,,,,,,,,,,,,
Counting: Person Records,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Filters:,,,,,,,,,,,,,,
Default Summation,Person Records,,,,,,,,,,,,,
,,,,,,,,,,,,,,
LGA (UR),Blacktown,Blue Mountains,Camden,Campbelltown (NSW),Fairfield,Hawkesbury,Liverpool,Parramatta,Penrith,Wollondilly,Canterbury-Bankstown,Cumberland,The Hills,Total
1-digit level HEAP Level of Highest Educational Attainment,,,,,,,,,,,,,,
Post Grad,25463,5806,4527,7798,3386,1936,8360,31116,7065,1232,17800,14913,18334,147736
Grad Dip / Cert,4749,2438,1601,1804,1117,918,2044,4783,2333,624,3977,2400,3866,32656
Bachelor,59472,12828,13117,18991,18272,5764,26180,56928,20257,4179,48326,32966,38988,356262
Diploma,27446,7471,9771,12318,12338,5408,17243,20074,15202,4035,26753,16921,16201,191186
Cert III & IV,38551,10950,18182,21977,17150,13024,24180,17501,34023,10865,31364,16923,16787,271474
> Year 10,92433,16005,28071,46800,63540,16971,62164,48160,58210,13308,97607,57956,38383,639590
< Year 9,21688,3255,5980,11172,23805,4636,15802,8866,14025,3515,26606,15948,6773,162079
Total,269802,58748,81245,120846,139614,48665,155974,187431,151117,37756,252432,158027,139334,1800979
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
INFO,Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells.,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Copyright Commonwealth of Australia, 2021, see abs.gov.au/copyright",,,,,,,,,,,,,,
"ABS data licensed under Creative Commons, see abs.gov.au/ccby",,,,,,,,,,,,,,
