Australian Bureau of Statistics,,,,,,,,,,
,,,,,,,,,,
"2021 Census - employment, income and education",,,,,,,,,,
1-digit level HEAP Level of Highest Educational Attainment by LGA (UR),,,,,,,,,,
Counting: Person Records,,,,,,,,,,
,,,,,,,,,,
Filters:,,,,,,,,,,
Default Summation,Person Records,,,,,,,,,
,,,,,,,,,,
LGA (UR),Blacktown,Blue Mountains,Camden,Campbelltown (NSW),Fairfield,Hawkesbury,Liverpool,Parramatta,Penrith,Wollondilly
1-digit level HEAP Level of Highest Educational Attainment,,,,,,,,,,
Post Grad,25463,5806,4527,7798,3386,1936,8360,31116,7065,1232
Grad Dip / Cert,4749,2438,1601,1804,1117,918,2044,4783,2333,624
Bachelor,59472,12828,13117,18991,18272,5764,26180,56928,20257,4179
Diploma,27446,7471,9771,12318,12338,5408,17243,20074,15202,4035
Cert III & IV,38551,10950,18182,21977,17150,13024,24180,17501,34023,10865
> Year 10,92433,16005,28071,46800,63540,16971,62164,48160,58210,13308
Cert I & II,224,42,64,169,228,52,191,89,166,39
< Year 9,21688,3255,5980,11172,23805,4636,15802,8866,14025,3515
Total,270026,58795,81313,121029,139836,48709,156164,187517,151281,37797
,,,,,,,,,,
,,,,,,,,,,
INFO,Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells.,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"Copyright Commonwealth of Australia, 2021, see abs.gov.au/copyright",,,,,,,,,,
"ABS data licensed under Creative Commons, see abs.gov.au/ccby",,,,,,,,,,
