Australian Bureau of Statistics,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"2021 Census - employment, income and education",,,,,,,,,,,,,,
INCP Total Personal Income (weekly) by LGA (UR),,,,,,,,,,,,,,
Counting: Person Records,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Filters:,,,,,,,,,,,,,,
Default Summation,Person Records,,,,,,,,,,,,,
,,,,,,,,,,,,,,
LGA (UR),Blacktown,Blue Mountains,Camden,Campbelltown (NSW),Fairfield,Hawkesbury,Liverpool,Parramatta,Penrith,Wollondilly,Canterbury-Bankstown,Cumberland,The Hills,Total
INCP Total Personal Income (weekly),,,,,,,,,,,,,,
<0,2730,296,615,1348,2412,434,2093,1183,1401,353,3242,2159,757,19016
0,35116,4954,7982,14792,22098,4154,21245,23546,14822,3424,36457,23258,17228,229066
149,8118,2329,2448,3734,5066,1583,5534,6076,4772,1295,8331,4946,5606,59842
299,13447,3033,3354,6938,12754,2249,10355,8783,7145,1691,17194,10313,6436,103685
399,20786,4588,5190,11168,22101,3674,15878,12674,11660,2951,28233,16166,7603,162677
499,19448,5187,4701,10352,16826,3900,13196,12218,11371,2734,24366,14481,7503,146284
649,18826,5154,5592,9686,13312,4024,12098,12542,11398,2960,21601,13936,8173,139309
799,19971,4764,5748,9995,11805,4037,12281,12855,11711,3072,21056,13917,8479,139677
999,25768,4813,7503,12590,13298,4689,14822,15815,15099,3484,23141,15839,9383,166245
1249,30755,5553,9461,13906,12896,5394,16652,19185,18055,4047,24808,16502,11952,189173
1499,23625,4260,7890,10179,8284,4142,12563,15407,14047,3226,17538,11369,10396,142912
1749,19237,3936,7000,7858,6224,3662,10048,13973,11726,2829,14062,8763,10128,119447
1999,13932,3317,5313,5335,3945,2874,7039,10769,8338,2147,9833,5983,8465,87281
2999,23702,6200,8776,7402,4985,4168,10274,21187,12527,3725,14875,9754,18507,146092
3499,4686,1211,1597,1199,881,790,1811,4621,2120,707,3027,1834,5374,29866
High,4805,1830,1951,1323,993,1153,2133,6044,2342,989,4223,2046,9498,39320
Total,284946,61420,85131,127795,157877,50934,168016,196875,158532,39628,271990,171270,145480,1919898
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
INFO,Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells.,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Copyright Commonwealth of Australia, 2021, see abs.gov.au/copyright",,,,,,,,,,,,,,
"ABS data licensed under Creative Commons, see abs.gov.au/ccby",,,,,,,,,,,,,,
