Australian Bureau of Statistics,,,,,,,,,,,
,,,,,,,,,,,
"2016 Census - Employment, Income and Education",,,,,,,,,,,
INDP - 1 Digit Level by LGA (UR),,,,,,,,,,,
Counting: Persons Place of Usual Residence,,,,,,,,,,,
,,,,,,,,,,,
Filters:,,,,,,,,,,,
Default Summation,Persons Place of Usual Residence,,,,,,,,,,
,,,,,,,,,,,
LGA (UR),Blacktown,Blue Mountains,Camden,Campbelltown (NSW),Fairfield,Hawkesbury,Liverpool,Parramatta,Penrith,Wollondilly,Total
INDP - 1 Digit Level,,,,,,,,,,,
"Agriculture, Forestry and Fishing",685,285,379,219,487,931,651,192,725,569,5115
Mining,204,122,194,134,88,113,123,125,183,402,1699
Manufacturing,12489,1761,3058,6493,8554,2403,7786,6148,7483,1960,58125
"Electricity, Gas, Water and Waste Services",1552,440,444,690,526,419,711,863,1349,360,7355
Construction,12182,2918,4904,5811,7403,4910,8346,7258,11045,3559,68334
Wholesale Trade,6914,807,1460,2464,2753,1034,3234,4820,3674,736,27899
Retail Trade,16039,2974,4252,7432,7890,3080,8459,9638,10012,2268,72035
Accommodation and Food Services,8444,2634,2075,4327,4721,1715,4739,6251,5592,1162,41659
"Transport, Postal and Warehousing",11441,1293,2681,5605,4849,1496,6557,4586,6714,1487,46706
Information Media and Telecommunications,3072,611,489,988,1046,474,1259,3178,1213,181,12511
Financial and Insurance Services,8723,1006,1490,3062,3056,735,3819,7656,4061,587,34205
"Rental, Hiring and Real Estate Services",1861,603,765,979,963,503,1125,1963,1522,413,10690
"Professional, Scientific and Technical Services",8943,2317,2022,3279,3323,1474,4047,12199,4092,1126,42823
Administrative and Support Services,5203,1106,1142,2506,2558,945,2884,3802,3124,691,23971
Public Administration and Safety,9208,3191,2773,4262,2757,2301,5280,5757,6735,1462,43734
Education and Training,9523,5305,3714,4823,3769,2762,5660,8401,6841,2176,52973
Health Care and Social Assistance,19204,5238,4135,8543,6728,3189,9586,13340,10384,2372,82716
Arts and Recreation Services,1585,834,540,771,785,566,1008,1443,1285,316,9140
Total,137274,33439,36512,62384,62265,29051,75274,97625,86050,21824,641696
,,,,,,,,,,,
"Dataset: Census of Population and Housing, 2016, TableBuilder",,,,,,,,,,,
,,,,,,,,,,,
INFO,Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells.,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"Copyright Commonwealth of Australia, 2021, see abs.gov.au/copyright",,,,,,,,,,,
"ABS data licensed under Creative Commons, see abs.gov.au/ccby",,,,,,,,,,,
